"slotid","slotdoctorid","slotdate","slotfrom","slotto","slotstatus"
7261,2,"2023-09-01","10:00:00","10:15:00","booked"
7262,2,"2023-09-01","10:15:00","10:30:00","booked"
7263,2,"2023-09-01","10:30:00","10:45:00","booked"
7264,2,"2023-09-01","10:45:00","11:00:00","booked"
7266,2,"2023-09-01","11:15:00","11:30:00","booked"
7267,2,"2023-09-01","11:30:00","11:45:00","booked"
7268,2,"2023-09-01","11:45:00","12:00:00","booked"
7269,2,"2023-09-01","12:00:00","12:15:00","booked"
7270,2,"2023-09-01","12:15:00","12:30:00","booked"
7271,2,"2023-09-01","12:30:00","12:45:00","booked"
7272,2,"2023-09-01","12:45:00","13:00:00","booked"
8834,10,"2023-09-02","14:30:00","14:40:00","booked"
8835,10,"2023-09-02","14:40:00","14:50:00","booked"
8836,10,"2023-09-02","14:50:00","15:00:00","booked"
8837,10,"2023-09-02","15:00:00","15:10:00","booked"
8838,10,"2023-09-02","15:10:00","15:20:00","booked"
8839,10,"2023-09-02","15:20:00","15:30:00","booked"
8840,10,"2023-09-02","15:30:00","15:40:00","booked"
8841,10,"2023-09-02","15:40:00","15:50:00","booked"
8842,10,"2023-09-02","15:50:00","16:00:00","booked"
8843,10,"2023-09-02","16:00:00","16:10:00","booked"
8844,10,"2023-09-02","16:10:00","16:20:00","booked"
8845,10,"2023-09-02","16:20:00","16:30:00","booked"
8846,10,"2023-09-02","16:30:00","16:40:00","booked"
8847,10,"2023-09-02","16:40:00","16:50:00","booked"
8848,10,"2023-09-02","16:50:00","17:00:00","booked"
8849,10,"2023-09-02","17:00:00","17:10:00","booked"
8850,10,"2023-09-02","17:10:00","17:20:00","booked"
8851,10,"2023-09-02","17:20:00","17:30:00","booked"
8852,10,"2023-09-03","14:30:00","14:40:00","booked"
8853,10,"2023-09-03","14:40:00","14:50:00","booked"
8854,10,"2023-09-03","14:50:00","15:00:00","booked"
8855,10,"2023-09-03","15:00:00","15:10:00","booked"
8856,10,"2023-09-03","15:10:00","15:20:00","booked"
8857,10,"2023-09-03","15:20:00","15:30:00","booked"
8858,10,"2023-09-03","15:30:00","15:40:00","booked"
8859,10,"2023-09-03","15:40:00","15:50:00","booked"
8860,10,"2023-09-03","15:50:00","16:00:00","booked"
8861,10,"2023-09-03","16:00:00","16:10:00","booked"
8862,10,"2023-09-03","16:10:00","16:20:00","booked"
8863,10,"2023-09-03","16:20:00","16:30:00","booked"
8864,10,"2023-09-03","16:30:00","16:40:00","booked"
8865,10,"2023-09-03","16:40:00","16:50:00","booked"
8866,10,"2023-09-03","16:50:00","17:00:00","booked"
8867,10,"2023-09-03","17:00:00","17:10:00","booked"
8868,10,"2023-09-03","17:10:00","17:20:00","booked"
8869,10,"2023-09-03","17:20:00","17:30:00","booked"
8870,10,"2023-09-09","14:30:00","14:40:00","booked"
8871,10,"2023-09-09","14:40:00","14:50:00","booked"
8872,10,"2023-09-09","14:50:00","15:00:00","booked"
8873,10,"2023-09-09","15:00:00","15:10:00","booked"
8874,10,"2023-09-09","15:10:00","15:20:00","booked"
8875,10,"2023-09-09","15:20:00","15:30:00","booked"
8876,10,"2023-09-09","15:30:00","15:40:00","booked"
8877,10,"2023-09-09","15:40:00","15:50:00","booked"
8878,10,"2023-09-09","15:50:00","16:00:00","booked"
8879,10,"2023-09-09","16:00:00","16:10:00","booked"
8880,10,"2023-09-09","16:10:00","16:20:00","booked"
8881,10,"2023-09-09","16:20:00","16:30:00","booked"
8882,10,"2023-09-09","16:30:00","16:40:00","booked"
8883,10,"2023-09-09","16:40:00","16:50:00","booked"
8884,10,"2023-09-09","16:50:00","17:00:00","booked"
8885,10,"2023-09-09","17:00:00","17:10:00","booked"
8886,10,"2023-09-09","17:10:00","17:20:00","booked"
8887,10,"2023-09-09","17:20:00","17:30:00","booked"
8889,10,"2023-09-10","14:40:00","14:50:00","booked"
8890,10,"2023-09-10","14:50:00","15:00:00","booked"
8891,10,"2023-09-10","15:00:00","15:10:00","booked"
8892,10,"2023-09-10","15:10:00","15:20:00","booked"
8893,10,"2023-09-10","15:20:00","15:30:00","booked"
8894,10,"2023-09-10","15:30:00","15:40:00","booked"
8895,10,"2023-09-10","15:40:00","15:50:00","booked"
8896,10,"2023-09-10","15:50:00","16:00:00","booked"
8897,10,"2023-09-10","16:00:00","16:10:00","booked"
8898,10,"2023-09-10","16:10:00","16:20:00","booked"
8899,10,"2023-09-10","16:20:00","16:30:00","booked"
8900,10,"2023-09-10","16:30:00","16:40:00","booked"
8901,10,"2023-09-10","16:40:00","16:50:00","booked"
8902,10,"2023-09-10","16:50:00","17:00:00","booked"
8903,10,"2023-09-10","17:00:00","17:10:00","booked"
8904,10,"2023-09-10","17:10:00","17:20:00","booked"
8905,10,"2023-09-10","17:20:00","17:30:00","booked"
8906,10,"2023-09-16","14:30:00","14:40:00","booked"
8907,10,"2023-09-16","14:40:00","14:50:00","booked"
8908,10,"2023-09-16","14:50:00","15:00:00","booked"
8909,10,"2023-09-16","15:00:00","15:10:00","booked"
8910,10,"2023-09-16","15:10:00","15:20:00","booked"
8911,10,"2023-09-16","15:20:00","15:30:00","booked"
