"doctorid","doctorslotindex","doctorschedule","doctoravailablefrom","doctoravailableto","doctoravailableslot"
1,1,"135","09:00:00","12:00:00",15
1,2,"246","14:00:00","17:00:00",30
2,1,"135","10:00:00","13:00:00",15
2,2,"246","15:00:00","18:00:00",30
3,1,"146","08:00:00","11:00:00",15
3,2,"127","09:00:00","12:00:00",20
4,1,"135","14:00:00","17:00:00",15
4,2,"246","10:00:00","13:00:00",30
5,1,"257","15:00:00","18:00:00",20
5,2,"346","08:00:00","11:00:00",10
6,1,"12345","11:00:00","13:00:00",30
7,1,"147","16:00:00","19:00:00",15
8,1,"267","09:00:00","12:00:00",35
9,1,"3467","14:30:00","17:30:00",20
10,1,"67","14:30:00","17:30:00",10
